Sequence	LTR5	LTR3	TSR	PPT	pos_gag	pos_protease	pos_rnase	pos_rt	pos_integrase	pos_transposase
odontomachus_brunneus_NW_022639771.1:534-183913	53074:53538, 53823:54514, 115581:115857	64821:65283, 65063:65709, 121356:121632	NOTFOUND, 115577:115580/121633:121636	64806:64820, 64979:64993, 115858:115872	54839-55249, 174925-175626	55620-56816, 166229-167599, 175648-176064, 177388-177903	57054-57809, 166229-167599, 119385-118015	55620-56816, 151789-152727, 152687-153919, 167636-168124, 176829-177251, 120056-119445, 119385-118015, 69486-69124, 8867-8268	24023-24439, 57054-57809, 58126-62937, 101284-101880, 178433-178942, 155335-154991, 117575-117216, 20483-19326	117307-116807, 48327-48028, 47975-47364, 30793-30053, 20483-19326, 16710-16324
odontomachus_brunneus_NW_022639775.1:24330-159548	NA	NA	NA	NA	91774-94056, 70930-70346	33647-33066	7033-8274, 11244-12185, 17266-16958	6278-7084, 7033-8274, 11244-12185, 38512-36758, 32934-32539, 18358-17900, 17861-17556, 17266-16958	8852-9598, 54629-55693, 52704-52276	54629-55693, 91774-94056, 101111-102130, 52704-52276
odontomachus_brunneus_NW_022639779.1:160044-184894	NA	NA	NA	NA	NA	NA	5096-5587	4114-4719	5587-6909	6987-7580
odontomachus_brunneus_NW_022639783.1:13564-131780	60284:60770	70963:71448	60280:60283/71449:71452	60838:60852	NA	78408-80225	78408-80225	23108-24091, 31901-33676, 33725-34294, 56432-58078, 78408-80225, 89626-90498, 90861-91907, 9963-9457	94450-94857, 103489-103842, 65029-64703	93810-94388
odontomachus_brunneus_NW_022639792.1:43928-101282	NA	NA	NA	NA	NA	15906-14356	14858-14256	14858-14256	8171-7545	NA
odontomachus_brunneus_NW_022639821.1:51853-84182	NA	NA	NA	NA	NA	20348-21814, 4074-136	22312-23181, 17555-16350, 4074-136	20348-21814, 21735-22304, 17948-17559, 17555-16350, 4074-136	15113-14187, 4074-136	27254-27907, 15113-14187
odontomachus_brunneus_NW_022639839.1:7956-41960	NA	NA	NA	NA	NA	6405-5230	5216-4023	19940-20413, 6405-5230, 5216-4023	4183-2180	24597-25076, 29827-29450, 15732-15433, 4183-2180
odontomachus_brunneus_NW_022639844.1:11023-68247	NA	NA	NA	NA	NA	55147-55503, 34870-30707, 5444-4578	34870-30707, 3518-1908	34870-30707, 4556-3615	34870-30707, 3518-1908	34870-30707
odontomachus_brunneus_NW_022639904.1:2628-39030	NA	NA	NA	NA	NA	15362-15727, 10876-6713	10876-6713	10876-6713	10876-6713	18845-21574, 10876-6713
ooceraea_biroi_NC_039506.1:11348881-11370119	NA	NA	NA	NA	NA	NA	1804-2205, 4493-5497, 13583-12750	1046-1636, 14059-13595	12606-11509	3-1046, 12606-11509
ooceraea_biroi_NC_039506.1:11827169-11848896	NA	NA	NA	NA	NA	NA	18577-18104	19027-18596	5752-6645, 18104-17076	5752-6645, 6476-6784, 18104-17076
ooceraea_biroi_NC_039506.1:11837949-11859034	NA	NA	NA	NA	15922-16257	NA	7797-7324	8247-7816	11284-11931, 7324-6296	11284-11931, 7324-6296
ooceraea_biroi_NC_039507.1:11447594-11469066	NA	NA	NA	NA	NA	2679-3212	5635-6207, 15119-13809, 13687-12146	4406-4834, 15119-13809	13687-12146	NA
ooceraea_biroi_NC_039507.1:12274875-12296350	NA	NA	NA	NA	NA	16324-14288	14197-12002	4799-5173, 16324-14288, 14197-12002	14197-12002	NA
ooceraea_biroi_NC_039508.1:8291222-8312682	NA	NA	NA	NA	NA	NA	14832-13201	14832-13201	5851-6498, 13134-12706	12660-11896
ooceraea_biroi_NC_039508.1:9269104-9289988	NA	NA	NA	NA	NA	NA	14172-12325	15258-14572	14172-12325	NA
ooceraea_biroi_NC_039509.1:7582967-7604154	NA	NA	NA	NA	NA	NA	5116-8598	5116-8598	5116-8598	NA
ooceraea_biroi_NC_039510.1:7834312-7855610	NA	NA	NA	NA	NA	NA	4141-5181, 5310-7328	4141-5181	5310-7328	5310-7328
ooceraea_biroi_NC_039510.1:7940589-7961587	NA	NA	NA	NA	NA	NA	NA	NA	17211-18242	17211-18242, 19520-18948, 18914-18498
ooceraea_biroi_NC_039511.1:163901-184929	NA	NA	NA	NA	1367-627	NA	16787-15645	16787-15645	19351-20367	19351-20367, 14935-14258
ooceraea_biroi_NC_039511.1:164228-185685	NA	NA	NA	NA	1040-300	NA	16460-15318	16460-15318	19024-20040	19024-20040, 14608-13931
ooceraea_biroi_NC_039511.1:31217-53061	NA	NA	NA	NA	NA	NA	5964-9962	5964-9962	5964-9962	NA
ooceraea_biroi_NC_039512.1:13381039-13402265	NA	NA	NA	NA	NA	2415-6377, 16109-15141	2415-6377	2415-6377, 15271-14351	2415-6377, 13897-12647, 12553-11894	2415-6377
ooceraea_biroi_NC_039513.1:2268289-2290133	7808:9761	17440:19391	NOTFOUND	9845:9859	NA	NA	14751-11884	15044-14724, 14751-11884, 6340-6029	14751-11884	2813-2346
ooceraea_biroi_NC_039513.1:671496-693340	NA	NA	NA	NA	NA	NA	5964-9962, 21742-21065, 16086-14008	5964-9962, 21742-21065, 20074-19103, 16086-14008	5964-9962, 16086-14008	16086-14008
ooceraea_biroi_NC_039514.1:5269297-5290325	NA	NA	NA	NA	NA	NA	5386-7068, 7143-7445, 1594-314	5386-7068, 2063-1710, 1594-314	7889-9088, 1594-314, 410-3	NA
ooceraea_biroi_NC_039514.1:5378634-5400040	NA	NA	NA	NA	NA	NA	1767-2591	1111-1881, 1767-2591	2946-4076, 20270-20638	2946-4076, 17593-18456, 18333-18728
ooceraea_biroi_NC_039514.1:5395961-5417367	NA	NA	NA	NA	NA	NA	NA	NA	2943-3311	266-1129, 1006-1401, 3176-4072
ooceraea_biroi_NC_039515.1:798936-820069	NA	NA	NA	NA	18966-21026	18966-21026	NA	NA	363-845, 4188-4874, 18100-17579	4188-4874
ooceraea_biroi_NC_039515.1:9499359-9521203	NA	NA	NA	NA	NA	NA	NA	NA	19167-19718	NA
ooceraea_biroi_NC_039517.1:12981705-13003237	NA	NA	NA	NA	NA	NA	8067-8990	6517-6852	19876-20610	8965-9396
ooceraea_biroi_NC_039519.1:1822259-1843491	NA	NA	NA	NA	NA	NA	NA	NA	18360-17359	NA
ooceraea_biroi_NW_020825074.1:1-21728	NA	NA	NA	NA	NA	NA	7858-8202, 20160-16612, 7638-5737	20160-16612	8415-9845, 20160-16612, 7638-5737	NA
ooceraea_biroi_NW_020825074.1:18532-39013	NA	NA	NA	NA	NA	5358-8201	5358-8201	5358-8201	NA	NA
ooceraea_biroi_NW_020825076.1:1-11943	NA	NA	NA	NA	NA	NA	1341-2441, 11188-9446	1039-1341, 1341-2441, 11619-11092	2516-3946, 11188-9446	NA
ooceraea_biroi_NW_020825080.1:11149-32336	2028:2843	11658:12474	NOTFOUND	11560:11574	NA	NA	5543-7900, 17092-20589	5543-7900, 17092-20589	8110-9744, 17092-20589	NA
ooceraea_biroi_NW_020825080.1:21776-40906	8:1864	11058:12912	3:7/12913:12917	10984:10998	NA	NA	6465-9962	6465-9962	6465-9962	NA
ooceraea_biroi_NW_020825081.1:1-16336	NA	NA	NA	NA	NA	12652-13542	2253-4751, 13401-15128	2253-4751, 13401-15128	2253-4751	NA
ooceraea_biroi_NW_020825094.1:1-21228	NA	NA	NA	NA	NA	NA	NA	NA	NA	14050-13157
ooceraea_biroi_NW_020825120.1:12135-33163	NA	NA	NA	NA	NA	NA	13883-13407	NA	13304-11943	13304-11943
ooceraea_biroi_NW_020825123.1:1-15191	NA	NA	NA	NA	NA	NA	15011-13110	15011-13110	NA	NA
ooceraea_biroi_NW_020825123.1:1-19088	NA	NA	NA	NA	NA	16231-15341	15320-13110	15320-13110	NA	NA
ooceraea_biroi_NW_020825124.1:384-21412	NA	NA	NA	NA	NA	NA	6800-8089	5115-6728	NA	8155-9084
ooceraea_biroi_NW_020825129.1:1-17597	NA	NA	NA	NA	NA	NA	61-2997	61-2997	3051-4079	NA
ooceraea_biroi_NW_020825138.1:1-15075	NA	NA	NA	NA	NA	13871-15073	598-3192	598-3192, 13871-15073	598-3192	NA
ooceraea_biroi_NW_020825140.1:182-14448	NA	NA	NA	NA	NA	NA	14155-13064	NA	13009-12605, 12701-11901	NA
ooceraea_biroi_NW_020825155.1:4269-15506	NA	NA	NA	NA	NA	NA	NA	NA	2269-3288	2269-3288
osmia_lignaria_NW_023009276.1:422649-443371	NA	NA	NA	NA	14566-14039	NA	NA	20657-20049, 17512-16535, 16492-15890	NA	NA
osmia_lignaria_NW_023009287.1:448580-469302	NA	NA	NA	NA	593-1096	NA	NA	NA	NA	1716-2768, 18922-18128, 14687-14061
osmia_lignaria_NW_023009290.1:450903-471625	NA	NA	NA	NA	NA	NA	12840-10783	NA	12840-10783	12840-10783
osmia_lignaria_NW_023009291.1:1-12676	NA	NA	NA	NA	NA	7299-4156	7299-4156	7299-4156	4085-2736	4085-2736
osmia_lignaria_NW_023009291.1:400425-421081	NA	NA	NA	NA	NA	NA	6045-6353, 2602-905	5536-6069, 6045-6353, 2602-905	NA	713-33
osmia_lignaria_NW_023009298.1:209391-230113	NA	NA	NA	NA	2924-3427	7974-6733	NA	4033-5052, 5085-5600, 6739-6059	1682-1260	NA
osmia_lignaria_NW_023009300.1:20015-40767	NA	NA	NA	NA	NA	NA	7291-9972	6420-7223, 7291-9972	1085-1669, 7291-9972	1806-2168, 7291-9972
osmia_lignaria_NW_023009301.1:47531-68253	NA	NA	NA	NA	NA	7642-6767	5804-4917	6773-5823, 5804-4917	4826-3570	NA
osmia_lignaria_NW_023009302.1:121618-142340	4359:5215	17745:18601	4355:4358/18602:18605	5282:5296	NA	15427-14423, 602-174	14598-10783	14598-10783	14598-10783	14598-10783
osmia_lignaria_NW_023009307.1:171517-192239	13433:13903	19508:19978	13428:13432/19979:19983	19493:19507	13986-19205	13986-19205	13510-11540	1003-1986, 13986-19205, 20437-20084, 13510-11540	13986-19205, 13510-11540	238-786
osmia_lignaria_NW_023009314.1:1-10897	NA	NA	NA	NA	NA	NA	5745-5242	6995-6180, 6198-5776	5456-4770	NA
osmia_lignaria_NW_023009314.1:117871-138593	NA	NA	NA	NA	NA	NA	14925-11683, 7708-7295	14925-11683	14925-11683, 11634-10783, 7214-6834	11634-10783
osmia_lignaria_NW_023009315.1:65095-85817	NA	NA	NA	NA	NA	5378-6376	6840-9941	6840-9941	6840-9941	6840-9941
osmia_lignaria_NW_023009328.1:1-13133	NA	NA	NA	NA	NA	13064-12069	10868-9675	11888-10968	10868-9675, 4029-3193	4029-3193
osmia_lignaria_NW_023009330.1:3995-24693	NA	NA	NA	NA	17411-16851	NA	128-2419	NA	128-2419	128-2419, 16001-16306
osmia_lignaria_NW_023009332.1:92768-113520	NA	NA	NA	NA	NA	NA	14531-10782	14531-10782	20398-18989, 14531-10782	14531-10782
osmia_lignaria_NW_023009350.1:51488-72210	NA	NA	NA	NA	NA	5694-6836	6839-9184	6839-9184, 19720-18737	6839-9184	20485-19937
osmia_lignaria_NW_023009381.1:1-11405	NA	NA	NA	NA	NA	3176-7561	3176-7561	3176-7561	3176-7561	3176-7561
photinus_pyralis_NW_022170249.1:4480665-4502395	NA	NA	NA	NA	NA	NA	7370-8341	NA	7370-8341	8428-9528, 18038-18871
rhopalosiphum_maidis_NC_040877.1:46824282-46846234	8927:9523	17085:17681	8923:8926/17682:17685	9528:9542	NA	15734-12348	21901-21509, 15734-12348	15734-12348	21522-20251, 15734-12348	21522-20251, 5492-4455, 325-2
rhopalosiphum_maidis_NC_040877.1:46844280-46866241	9041:9554	18672:19215	NOTFOUND	9559:9573	NA	4040-3540	16735-13979, 2296-1511	16735-13979, 2945-2325	1524-253	20279-20698, 7146-5812, 1524-253
rhopalosiphum_maidis_NC_040877.1:47840604-47862373	8617:9474	17630:18487	8613:8616/18488:18491	9479:9493	NA	15475-12569	NA	15475-12569	NA	NA
rhopalosiphum_maidis_NC_040877.1:92857576-92879288	224:404	4173:4353, 5261:5441	218:223/4354:4359, 218:223/5442:5447	422:436	NA	NA	NA	NA	NA	NA
rhopalosiphum_maidis_NC_040877.1:92880502-92902454	25:1408, 25:1447, 25:1664, 40:1444, 40:1463, 45:1447, 45:1644, 45:1626, 45:1605, 64:1408, 64:1447, 79:1444, 79:1463, 103:1427, 3236:3832	20460:21937, 20381:21937, 20341:21937, 20167:21937, 20220:21855, 20220:21875, 20278:21914, 20283:21858, 20186:21878, 20283:21878, 20480:21937, 20401:21937, 20416:21855, 20416:21875, 20416:21914, 20460:21917, 12437:13033	20:24/21938:21942, 36:39/21856:21859, 36:39/21876:21879, 36:39/21915:21918, 39:44/21859:21864, 39:44/21879:21884, 59:63/21938:21942, 75:78/21856:21859, 75:78/21876:21879, 75:78/21915:21918, 97:102/21918:21923, 3232:3235/13034:13037	1464:1478, 1681:1695, 12418:12432	NA	5183-9607	5183-9607	5183-9607	5183-9607	NA
rhopalosiphum_maidis_NC_040877.1:94098479-94120431	3237:3832, 14195:16286	12437:13033, 19512:21901, 19512:21921	3233:3236/13034:13037, 14189:14194/21902:21907, 14189:14194/21922:21927	12418:12432, 19460:19474	NA	5183-9607	5183-9607	5183-9607	5183-9607	NA
rhopalosiphum_maidis_NC_040878.1:35055120-35076742	2367:2950	12060:12643	2363:2366/12644:12647	12041:12055	NA	3112-8820	3112-8820	3112-8820	3112-8820	NA
rhopalosiphum_maidis_NC_040879.1:12076943-12098607	NA	NA	NA	NA	NA	NA	13977-12619	NA	13977-12619	13977-12619
rhopalosiphum_maidis_NC_040879.1:40494618-40516570	6864:7460	12412:13008	6860:6863/13009:13012	12393:12407	NA	NA	NA	NA	8652-9608	NA
rhopalosiphum_maidis_NC_040879.1:60708057-60729283	NA	NA	NA	NA	NA	16268-15591	13304-12921	13304-12921	12691-12305, 12283-11720	NA
rhopalosiphum_maidis_NC_040879.1:61765758-61787533	NA	NA	NA	NA	NA	4934-5917	7592-8974	6912-7571, 7592-8974	7592-8974, 8943-9914	NA
rhopalosiphum_maidis_NC_040879.1:70379156-70401105	3234:3831	12475:13072	3230:3233/13073:13076	12456:12470	NA	5182-9606	5182-9606	5182-9606	5182-9606	NA
rhopalosiphum_maidis_NC_040879.1:72009723-72031675	8935:9531	18124:18720	8931:8934/18721:18724	9536:9550	NA	16773-15229	15095-12348	15095-12348	15095-12348	NA
rhopalosiphum_maidis_NC_040879.1:72475153-72496418	3238:3834	12434:13030	3234:3237/13031:13034	12415:12429	NA	5185-7488	7569-9608	5185-7488	7569-9608	NA
rhopalosiphum_maidis_NC_040879.1:75205173-75226948	NA	NA	NA	NA	NA	4949-5932	7592-8974	6912-7571, 7592-8974	7592-8974, 8943-9914	NA
rhopalosiphum_maidis_NC_040879.1:8453848-8475641	2715:3302	12397:12972	2711:2714/12973:12976	12378:12392	NA	NA	5224-9153	5224-9153, 12989-13384, 17356-17868	5224-9153	NA
rhopalosiphum_maidis_NC_040880.1:38535855-38557477	2331:2948	12060:12679	2327:2330/12680:12683	12041:12055	NA	3111-8819	3111-8819	3111-8819	3111-8819, 17631-18194	NA
rhopalosiphum_maidis_NC_040880.1:45629677-45651611	NA	NA	NA	NA	NA	NA	7637-8320	7637-8320	NA	NA
rhopalosiphum_maidis_NC_040880.1:47121106-47143058	3234:3830	12439:13035	3230:3233/13036:13039	12420:12434	NA	5181-9605	5181-9605	5181-9605	5181-9605	NA
solenopsis_invicta_NC_052664.1:10493380-10515158	NA	NA	NA	NA	NA	5901-9986	5901-9986	5901-9986	5901-9986	NA
solenopsis_invicta_NC_052664.1:10504963-10526741	NA	NA	NA	NA	NA	5901-9986	5901-9986	5901-9986	5901-9986	NA
solenopsis_invicta_NC_052664.1:1941242-1963014	NA	NA	NA	NA	NA	5027-9949	5027-9949	5027-9949	5027-9949	5027-9949
solenopsis_invicta_NC_052664.1:3011431-3033056	NA	NA	NA	NA	NA	16721-11820	16721-11820	16721-11820	64-897, 16721-11820, 6694-6143	64-897, 16721-11820, 6694-6143
solenopsis_invicta_NC_052664.1:4277734-4299506	NA	NA	NA	NA	NA	16775-16086	14978-13899	16123-14879, 14978-13899	20711-21391, 13039-11834	13039-11834
solenopsis_invicta_NC_052665.1:102260-123849	NA	NA	NA	NA	NA	NA	15244-12548	15244-12548	15244-12548	12544-11648
solenopsis_invicta_NC_052665.1:22742704-22764479	NA	NA	NA	NA	NA	NA	4847-9943	4847-9943	4847-9943	4847-9943
solenopsis_invicta_NC_052665.1:23572027-23593799	NA	NA	NA	NA	NA	16740-14275	13993-11825	16740-14275	13993-11825	1220-1939, 13993-11825
solenopsis_invicta_NC_052665.1:24630886-24652631	NA	NA	NA	NA	NA	NA	6496-9918	6496-9918, 19234-18887	32-1603, 6496-9918	6496-9918
solenopsis_invicta_NC_052666.1:10903523-10925295	NA	NA	NA	NA	NA	16741-11825	16741-11825	16741-11825	16741-11825	16741-11825
solenopsis_invicta_NC_052666.1:11014619-11036394	NA	NA	NA	NA	NA	NA	16930-11834	16930-11834	16930-11834	16930-11834
solenopsis_invicta_NC_052666.1:12250090-12271862	NA	NA	NA	NA	NA	5035-6228	7376-9949	6354-7370	7376-9949	7376-9949
solenopsis_invicta_NC_052666.1:1814255-1836012	7497:9578	17512:19587	7493:7496/19588:19591	9617:9631	2383-2039, 1773-784	16372-13691	16372-13691	16372-13691	13752-11911	751-398
solenopsis_invicta_NC_052666.1:4003076-4024851	NA	NA	NA	NA	NA	NA	4843-8847	4843-8847	8927-9943	8927-9943
solenopsis_invicta_NC_052666.1:4946471-4968264	NA	NA	NA	NA	NA	15903-12610	15903-12610	15903-12610	15903-12610, 12781-12260	NA
solenopsis_invicta_NC_052666.1:4956544-4978484	8201:9909	18679:20364	8197:8200/20365:20368	9910:9924	NA	16042-15449, 5830-2537	15414-11956, 5830-2537	15414-11956, 5830-2537	15414-11956, 5830-2537, 2708-2187	21736-21074
solenopsis_invicta_NC_052666.1:4970435-4992231	8120:9548	17812:19240	8116:8119/19241:19244	9549:9563	NA	15890-11820, 2151-1558	15890-11820, 1523-3	15890-11820, 1523-3	15890-11820	20029-19217, 8118-7183
solenopsis_invicta_NC_052666.1:8414253-8436055	2394:2907	18435:18943	2389:2393/18944:18948	2908:2922	17490-17188	6947-6378, 5789-4845	14157-13186	15919-14237, 6469-5741, 5789-4845	53-361, 13081-11915, 4627-3326	605-1132
solenopsis_invicta_NC_052667.1:16684564-16706339	NA	NA	NA	NA	NA	NA	4847-9943	4847-9943	4847-9943	4847-9943
solenopsis_invicta_NC_052667.1:18119598-18141373	NA	NA	NA	NA	NA	NA	4847-9943	4847-9943, 21633-20164	4847-9943	4847-9943
solenopsis_invicta_NC_052667.1:7919798-7941534	NA	NA	NA	NA	NA	NA	NA	7252-7713, 7703-8248	8665-9129	9190-9918, 16262-15927
solenopsis_invicta_NC_052668.1:10420919-10442694	NA	NA	NA	NA	NA	4847-9943	4847-9943	4847-9943	4847-9943	4847-9943
solenopsis_invicta_NC_052668.1:28235465-28257240	NA	NA	NA	NA	NA	NA	14374-11834	16930-14441	14374-11834	14374-11834
solenopsis_invicta_NC_052668.1:28482480-28503674	NA	NA	NA	NA	NA	NA	6578-6988, 7691-9412	5621-6511, 6578-6988	7014-7733, 7691-9412	7691-9412
solenopsis_invicta_NC_052668.1:468951-490708	7512:9581	17482:19561	7508:7511/19562:19565	9620:9634	NA	16155-13471	16155-13471	16155-13471	13359-11911	NA
solenopsis_invicta_NC_052668.1:5051407-5073053	2172:3691	5745:7263	2168:2171/7264:7267	5710:5724	NA	NA	NA	NA	NA	NA
solenopsis_invicta_NC_052669.1:16573341-16594969	NA	NA	NA	NA	NA	NA	7229-7615, 7567-8409	5070-7223, 7229-7615	8434-9807	8434-9807
solenopsis_invicta_NC_052669.1:17832911-17854548	NA	NA	NA	NA	NA	NA	NA	5935-7047	8766-9542, 18841-17897	8766-9542, 18841-17897
solenopsis_invicta_NC_052670.1:5310888-5332681	NA	NA	NA	NA	NA	20445-15979	20445-15979	20445-15979	20445-15979	NA
solenopsis_invicta_NC_052671.1:15744482-15766254	1846:3122	8460:9717	1842:1845/9718:9721	8445:8459	3302-4132, 21756-20818	4003-7347, 20986-17777	4003-7347, 20986-17777	4003-7347, 20986-17777	700-1575, 4003-7347, 20986-17777	700-1575, 20986-17777
solenopsis_invicta_NC_052671.1:15796218-15817918	1663:1942	12048:12335	NOTFOUND	12033:12047	NA	NA	5908-8295	5908-8295	8341-9447	1531-725
solenopsis_invicta_NC_052671.1:17507042-17528643	NA	NA	NA	NA	NA	NA	NA	1496-1963	NA	NA
solenopsis_invicta_NC_052671.1:19301788-19323575	NA	NA	NA	NA	NA	NA	15931-11915	15931-11915	15931-11915	NA
solenopsis_invicta_NC_052671.1:19311917-19333704	NA	NA	NA	NA	NA	NA	15931-11915	15931-11915	15931-11915	NA
solenopsis_invicta_NC_052671.1:19916090-19937280	NA	NA	NA	NA	15808-18657	15808-18657, 18766-20988	NA	15808-18657	18766-20988	NA
solenopsis_invicta_NC_052671.1:24187127-24208188	NA	NA	NA	NA	21061-19934	19636-16586	4847-9943, 19636-16586	4847-9943, 19636-16586	4847-9943, 19636-16586	4847-9943, 19636-16586
solenopsis_invicta_NC_052671.1:24306723-24328336	NA	NA	NA	NA	NA	NA	5728-7704	3477-5768, 5728-7704	5728-7704	7704-8576, 16061-14955
solenopsis_invicta_NC_052671.1:25733565-25755340	NA	NA	NA	NA	NA	4846-6219	6347-9943	6347-9943	6347-9943	6347-9943
solenopsis_invicta_NC_052673.1:164394-186169	NA	NA	NA	NA	NA	NA	4847-9943	4847-9943	4847-9943	4847-9943
solenopsis_invicta_NC_052673.1:5120268-5142040	NA	NA	NA	NA	NA	NA	14953-11825	14953-11825	14953-11825	14953-11825
solenopsis_invicta_NC_052673.1:5628922-5650694	NA	NA	NA	NA	NA	NA	16549-12122	16549-12122	16549-12122	16549-12122
solenopsis_invicta_NC_052674.1:12037214-12058989	NA	NA	NA	NA	NA	NA	16930-11834	16930-11834	16930-11834	16930-11834
solenopsis_invicta_NC_052674.1:12073072-12094841	NA	NA	NA	NA	NA	NA	NA	NA	12770-12048	19636-19938, 12770-12048
solenopsis_invicta_NC_052674.1:13254534-13276321	2085:4291	12218:14425	2081:2084/14426:14429	12166:12180	NA	NA	5822-9874	5822-9874	5822-9874	20936-21469
solenopsis_invicta_NC_052674.1:15398921-15419967	NA	NA	NA	NA	NA	NA	6974-8332	5980-7014, 6974-8332	20115-19405	19401-19006
solenopsis_invicta_NC_052675.1:1081577-1103349	167:3372	16692:19889	163:166/19890:19893	16629:16643	NA	NA	7097-9949	7097-9949	7097-9949	7097-9949
solenopsis_invicta_NC_052675.1:1106550-1128337	2794:2970	12219:12397	NOTFOUND	12167:12181	NA	NA	6359-9874	6359-9874	6359-9874	16481-18208
solenopsis_invicta_NC_052675.1:4229908-4251476	43:322	4538:4817	38:42/4818:4822	4440:4454	430-783, 873-2159	NA	3462-4487, 14639-14247, 14229-12364	2855-3547, 3462-4487, 15453-14809, 14639-14247	873-2159, 19769-19347, 14229-12364	19769-19347
solenopsis_invicta_NC_052676.1:12336004-12357779	NA	NA	NA	NA	NA	NA	15078-13084	15078-13084, 9727-8126	13126-11834	13126-11834
solenopsis_invicta_NC_052676.1:13106660-13128432	NA	NA	NA	NA	NA	NA	14944-11825	16558-14993, 14944-11825	14944-11825	14944-11825
solenopsis_invicta_NC_052676.1:13179098-13200903	8102:9569	18866:20333	8098:8101/20334:20337	9570:9584	NA	NA	17303-14826	17303-14826, 2130-1	14059-12944, 12778-12362	14059-12944
solenopsis_invicta_NC_052676.1:13249384-13271159	NA	NA	NA	NA	NA	NA	6804-8744	6804-8744, 16431-17129, 17006-17626	1079-2161, 8726-9400	NA
solenopsis_invicta_NC_052676.1:15819420-15841207	NA	NA	NA	NA	NA	NA	NA	NA	8997-10001	NA
solenopsis_invicta_NC_052676.1:9925954-9947693	NA	NA	NA	NA	NA	16740-16159	14804-12990	14804-12990	19109-17997, 12850-11834, 1045-737	19109-17997, 12850-11834
solenopsis_invicta_NC_052677.1:2337112-2358884	NA	NA	NA	NA	NA	5031-5948	6062-9949	6062-9949	6062-9949	6062-9949
solenopsis_invicta_NC_052677.1:389378-411150	NA	NA	NA	NA	NA	5033-5650	7031-9949	6066-7043, 7031-9949	7031-9949, 17470-16418	7031-9949
solenopsis_invicta_NC_052677.1:3960402-3982177	NA	NA	NA	NA	NA	NA	7170-8702	NA	8736-9794	8736-9794, 4773-3361
solenopsis_invicta_NC_052677.1:7471997-7493556	7125:9336	17226:19433	7121:7124/19434:19437	9374:9388	NA	19636-21558	14386-11672	19636-21558, 15686-14382, 14386-11672	14386-11672, 7014-6145	NA
solenopsis_invicta_NC_052677.1:7676175-7697932	7497:9578	17492:19565	7493:7496/19566:19569	9617:9631	NA	16165-13691	16165-13691	16165-13691	13752-11911	NA
solenopsis_invicta_NC_052677.1:88042-109811	NA	NA	NA	NA	NA	NA	15421-11822	15421-11822	15421-11822	15421-11822
solenopsis_invicta_NW_024105255.1:31777-53384	NA	NA	NA	NA	NA	5315-5740, 16554-16231	NA	15365-14703, 14578-14180	2958-1846	12328-11669, 2958-1846
solenopsis_invicta_NW_024105270.1:1675-23465	NA	NA	NA	NA	NA	21364-16916	21364-16916	21364-16916	21364-16916	21364-16916
solenopsis_invicta_NW_024105270.1:26630-48420	NA	NA	NA	NA	NA	21359-19926	19905-19096, 19077-18646	19905-19096	18640-17558	NA
solenopsis_invicta_NW_024105278.1:1-13651	NA	NA	NA	NA	NA	NA	6490-4991	6490-4991	4953-3778	4953-3778
solenopsis_invicta_NW_024105292.1:28425-46047	NA	NA	NA	NA	NA	736-2079	2182-5199	2182-5199	2182-5199	NA
solenopsis_invicta_NW_024105314.1:1-14859	NA	NA	NA	NA	9173-10528	10835-14443	7861-4859	10835-14443, 7861-4859	10835-14443, 7861-4859	10835-14443
trachymyrmex_cornetzi_NW_017295680.1:14241-35668	NA	NA	NA	NA	NA	16738-18108	NA	18531-18929, 7872-6370	NA	NA
trachymyrmex_cornetzi_NW_017295770.1:1-10360	NA	NA	NA	NA	NA	NA	8541-8164	10209-8866, 8860-8279	7369-6782	6740-6105
trachymyrmex_cornetzi_NW_017295795.1:252432-274441	NA	NA	NA	NA	NA	NA	18074-17538, 14531-12063	18814-18404	14531-12063	14531-12063
trachymyrmex_cornetzi_NW_017296401.1:32795-54645	NA	NA	NA	NA	NA	NA	17281-16421	NA	NA	15841-13301
trachymyrmex_cornetzi_NW_017296727.1:21634-43610	NA	NA	NA	NA	NA	5870-7060, 17847-21977	NA	5870-7060	13462-13001	NA
trachymyrmex_cornetzi_NW_017296752.1:149407-171161	NA	NA	NA	NA	NA	NA	NA	356-3	NA	NA
trachymyrmex_cornetzi_NW_017296913.1:1-18721	NA	NA	NA	NA	NA	NA	14203-11561	14203-11561	11237-10569	10636-9890
trachymyrmex_cornetzi_NW_017296947.1:1-13602	NA	NA	NA	NA	NA	NA	6576-5911, 5731-4253	7152-6640, 6576-5911	5731-4253	4242-3640
trachymyrmex_cornetzi_NW_017297008.1:7680-29368	NA	NA	NA	NA	NA	21368-21012	14954-14055, 13861-12920	7922-8380, 14954-14055	12784-12281, 362-3	NA
trachymyrmex_cornetzi_NW_017298523.1:40052-61338	NA	NA	NA	NA	NA	NA	14297-13476	14946-14428	NA	13215-12355
trachymyrmex_cornetzi_NW_017298683.1:63360-84628	NA	NA	NA	NA	NA	NA	NA	NA	20459-20968	20459-20968
trachymyrmex_cornetzi_NW_017299818.1:65641-83881	NA	NA	NA	NA	NA	NA	6070-9912	6070-9912	6070-9912	6070-9912
trachymyrmex_cornetzi_NW_017299849.1:2372-23547	NA	NA	NA	NA	NA	NA	NA	NA	16514-17068	NA
